PhraseId,SentenceId,Phrase,Sentiment
1,1,"['series', 'escapades', 'demonstrating', 'adage', 'good', 'goose', 'also', 'good', 'gander', 'occasionally', 'amuses', 'none', 'amounts', 'much', 'story']",1
2,1,"['series', 'escapades', 'demonstrating', 'adage', 'good', 'goose']",2
3,1,['series'],2
6,1,"['escapades', 'demonstrating', 'adage', 'good', 'goose']",2
9,1,['escapades'],2
10,1,"['demonstrating', 'adage', 'good', 'goose']",2
11,1,"['demonstrating', 'adage']",2
12,1,['demonstrating'],2
13,1,['adage'],2
16,1,"['good', 'goose']",2
22,1,"['good', 'goose']",3
23,1,['good'],3
24,1,['goose'],2
28,1,"['also', 'good', 'gander', 'occasionally', 'amuses', 'none', 'amounts', 'much', 'story']",2
30,1,['also'],2
32,1,"['good', 'gander', 'occasionally', 'amuses', 'none', 'amounts', 'much', 'story']",2
33,1,"['gander', 'occasionally', 'amuses', 'none', 'amounts', 'much', 'story']",2
34,1,"['gander', 'occasionally', 'amuses', 'none', 'amounts', 'much', 'story']",1
35,1,['gander'],2
39,1,"['occasionally', 'amuses', 'none', 'amounts', 'much', 'story']",2
45,1,['occasionally'],2
46,1,"['amuses', 'none', 'amounts', 'much', 'story']",2
47,1,['amuses'],3
48,1,"['none', 'amounts', 'much', 'story']",1
51,1,['none'],2
52,1,"['amounts', 'much', 'story']",2
55,1,['amounts'],2
56,1,"['much', 'story']",2
59,1,['much'],2
60,1,['story'],2
64,2,"['This', 'quiet', 'introspective', 'entertaining', 'independent', 'worth', 'seeking']",4
65,2,"['This', 'quiet', 'introspective', 'entertaining', 'independent']",3
66,2,['This'],2
67,2,"['quiet', 'introspective', 'entertaining', 'independent']",4
68,2,"['quiet', 'introspective', 'entertaining']",3
69,2,['quiet'],2
70,2,"['introspective', 'entertaining']",3
72,2,['introspective'],3
73,2,['introspective'],2
75,2,['entertaining'],4
76,2,['independent'],2
77,2,"['worth', 'seeking']",3
78,2,"['worth', 'seeking']",4
79,2,['worth'],2
81,2,['seeking'],2
82,3,"['Even', 'fans', 'Ismail', 'Merchant', 'work', 'suspect', 'would', 'hard', 'time', 'sitting', 'one']",1
83,3,"['Even', 'fans', 'Ismail', 'Merchant', 'work']",2
84,3,"['Even', 'fans']",2
85,3,['Even'],2
86,3,['fans'],3
87,3,"['Ismail', 'Merchant', 'work']",2
89,3,"['Ismail', 'Merchant']",2
90,3,['Ismail'],2
91,3,['Merchant'],2
94,3,['work'],2
95,3,"['suspect', 'would', 'hard', 'time', 'sitting', 'one']",1
96,3,['suspect'],2
101,3,"['would', 'hard', 'time', 'sitting', 'one']",1
102,3,"['would', 'hard', 'time', 'sitting', 'one']",0
103,3,['would'],2
